;id;created_at;username;verified;location;following;followers;total_tweets;favorite_count;retweet_count;hashtags;mentions;text
10;1518013177853890566;2022-04-23 23:45:19+00:00;liewbob;False;Piscataway, NJ;25788;23466;151610;0;36;[{'text': 'BlueVoices', 'indices': [94, 105]}, {'text': 'Rabbithole', 'indices': [107, 118]}];[{'screen_name': 'erosen1', 'name': 'Eric Rosen', 'id': 282617380, 'id_str': '282617380', 'indices': [3, 11]}];"Brett Kavanaugh
Donald Trump
Matt Gaetz
Al Franken

Which one doesn’t belong?  

#BlueVoices 
#Rabbithole"
11;1518012836571537409;2022-04-23 23:43:58+00:00;lott_hayley;False;Washington, USA;6221;5670;325444;0;43;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];Of all the despicable things cult followers have done, this truly turns my stomach. You don’t deface our flag with… https://t.co/qSgHty5Ki0
12;1518012795924533248;2022-04-23 23:43:48+00:00;li37144606;False;;233;224;891;0;8;[];[{'screen_name': 'rabbithole_gg', 'name': 'RabbitHole', 'id': 1254192452522696705, 'id_str': '1254192452522696705', 'indices': [3, 17]}];"What did you learn this week and how would you explain it in one tweet?

✨Best responses get RabbitHole gear.✨ https://t.co/ltoqvhAQMD"
13;1518012218855538689;2022-04-23 23:41:30+00:00;KamZenolay;False;;11731;11449;188115;0;43;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];Of all the despicable things cult followers have done, this truly turns my stomach. You don’t deface our flag with… https://t.co/qSgHty5Ki0
14;1518012029759537153;2022-04-23 23:40:45+00:00;RuthownedbyGray;False;South Florida, USA since 1973;15634;14807;23569;0;43;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];Of all the despicable things cult followers have done, this truly turns my stomach. You don’t deface our flag with… https://t.co/qSgHty5Ki0
15;1518012005633904641;2022-04-23 23:40:40+00:00;KamZenolay;False;;11731;11449;188115;0;22;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];I wonder why there is an officer behind the prayer giver? Could it be because he is a POC and might need protection… https://t.co/ztJujad7f9
16;1518011825941585922;2022-04-23 23:39:57+00:00;RuthownedbyGray;False;South Florida, USA since 1973;15634;14807;23569;68;43;[];[];Of all the despicable things cult followers have done, this truly turns my stomach. You don’t deface our flag with… https://t.co/qSgHty5Ki0
17;1518011113211785216;2022-04-23 23:37:07+00:00;vwaddley;False;Southern California;6075;5722;190283;0;72;[{'text': 'StaceyAbrams4Gov', 'indices': [21, 38]}];"[{'screen_name': 'Catmandoodlebug', 'name': ""#VoteBlue Catmandu^..^,~🔎📌Cat's Candidates"", 'id': 1412039308731727873, 'id_str': '1412039308731727873', 'indices': [3, 19]}]";#StaceyAbrams4Gov ... Having a Candidate like Stacey Abrams, someone who cares enough to ask what matters to us, ma… https://t.co/rsXmSjHYIc
18;1518009836339929088;2022-04-23 23:32:02+00:00;erosen1;False;Philly from MoCo MD;5744;6791;37294;0;22;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];I wonder why there is an officer behind the prayer giver? Could it be because he is a POC and might need protection… https://t.co/ztJujad7f9
19;1518009635470462978;2022-04-23 23:31:15+00:00;rn_wing;False;Florida, USA;19275;19114;40182;0;22;[];[{'screen_name': 'RuthownedbyGray', 'name': 'Ruth', 'id': 1258209108651581441, 'id_str': '1258209108651581441', 'indices': [3, 19]}];I wonder why there is an officer behind the prayer giver? Could it be because he is a POC and might need protection… https://t.co/ztJujad7f9
